Provinsi,Kota/Kabupaten,Lokasi SPKLU,Alamat,Latitude,Longitude,google maps,Jenis Konektor
Sulawesi Selatan,Bulukumba,SPKLU PLN UP3 BULUKUMBA,"Jl. Lanto Daeng Pasewang No.1, Caile, Kec. Ujung Bulu, Kabupaten Bulukumba, Sulawesi Selatan 92517",-5.54785765,120.1900481,https://maps.app.goo.gl/6pNB2eADq6Gkfb8q9,"AC TYPE 2, CCS2"
Sulawesi Selatan,Bulukumba,SPKLU PADUPPA RESORT,"PADUPPA RESORT kawasan wisata pantai tanjung desa, Bira, Bontobahari, Bulukumba Regency, South",-5.610277916,120.4524218,https://maps.app.goo.gl/XjjahqnZrpherL2N6,AC TYPE 2
Sulawesi Selatan,Bantaeng,SPKLU PLN ULP BANTAENG,"Jalan Kartini No.18 Bantaeng, Pallantikang, Kabupaten Bantaeng, Sulawesi Selatan",-5.544876173,119.9472134,https://maps.app.goo.gl/CGryZPPR48HQLknW7,AC TYPE 2
Sulawesi Selatan,Sinjai,SPKLU ULP SINJAI,"Jalan Anggrek No.48, Balang Nipa, Kec Sinjai Utara Kab Sinjai",-5.116980729,120.26237,https://maps.app.goo.gl/V32JQLY8T6TFbaSB6,AC TYPE 2
Sulawesi Selatan,Enrekang,SPKLU PLN ULP LAKAWAN,"Jln Negara Sossok, Kel Mataran, Kec. Anggeraja Kab Enrekang, Sulawesi Selatan",-3.391617159,119.7979713,https://maps.app.goo.gl/6b5RNkA4oao232N8A,AC TYPE 2
Sulawesi Selatan,Gowa,SPKLU PLN ULP SUNGGUMINASA,Jl Tumanurung No 5 Kab.Gowa Selawesi Selatan,-5.198446984,119.4495339,https://maps.app.goo.gl/VXtwM3HNrPLzvFuY9,"AC TYPE 2, CCS2, CHADEMO"
Sulawesi Selatan,Gowa,SPKLU Fakultas Teknik Universitas Hasanuddin,"Jl. Malino No.Km.6, Romang Lompoa, Kec. Bontomarannu, Kabupaten Gowa, Sulawesi Selatan 92171",-5.230229741,119.502134,https://maps.app.goo.gl/fMxWyqfcMFtgEW7YA,AC TYPE 2
Sulawesi Selatan,Gowa,SPKLU PLN ULP KALEBAJENG,"Jl. Pahlawan No.4, Limbung, Kab. Gowa",-5.29517954,119.4378374,https://maps.app.goo.gl/Sbvo1C2hoZroUmXi8,AC TYPE 2
Sulawesi Selatan,Gowa,SPKLU PLN ULP MALINO,"Jl. Endang, Malino, Kec. Tinggimoncong, Kab Gowa, Sulawesi Selatan 92174",-5.247900489,119.8551599,https://maps.app.goo.gl/GRmy1aPu75UV4jYQ8,"AC TYPE 2, CCS2, CHADEMO"
Sulawesi Selatan,Jeneponto,SPKLU PLN ULP JENEPONTO,"Jl. Lanto Dg Pasewang, Balang Toa, Binamu, Jeneponto Regency, Sulawesi Sulawesi 92315",-5.671404986,119.7344183,https://maps.app.goo.gl/aQXkU8VwAg9WswSeA,"AC TYPE 2, CCS2"
Sulawesi Selatan,Luwu Timur,SPKLU PLN ULP MALILI,"Jl. Abdul Rakib No. 8 Kantor PLN ULP Malili, Malili, Kab Luwu Timur, Sulawesi Selatan 92933",-2.63357366,121.0974809,https://maps.app.goo.gl/eAYKwgfP5bpXuiuEA,AC TYPE 2
Sulawesi Selatan,Luwu Timur,SPKLU PLN ULP TOMONI,"Kantor ULP Tomoni, JL Mekar 05, Desa Balai Kembang Kecamatan Mangkutana Luwu Timur",-2.500982929,120.8027435,https://maps.app.goo.gl/uHUKVDFjy589oh1L9,AC TYPE 2
Sulawesi Selatan,Luwu Timur,SPKLU KANTOR PLN ULP BELOPA,"Kantor PLN (Persero) ULP Belopa Tanamanai, Kec. Belopa, Kabupaten Luwu, Sulawesi Selatan 91994",-3.384099556,120.3696781,https://maps.app.goo.gl/j5hF4k6Tpyef4ErS9,AC TYPE 2
Sulawesi Selatan,Luwu Utara,SPKLU PLN ULP MASAMBA,"Jl. Muh. Hatta, Baliase, Kec. Masamba, Kab. Luwu Utara, Sulawesi Selatan",-2.550619013,120.3517623,https://maps.app.goo.gl/4EniYCk552K1HUYs8,AC TYPE 2
Sulawesi Selatan,Maros,SPKLU AL FAYYADH MAROS,"Jl. Poros Makassar - Maros No.38, Taroada, Kec. Turikale, Kabupaten Maros, Sulawesi Selatan 90516",-5.038942257,119.5697036,https://maps.app.goo.gl/WEDDqYKYNyo2gSrr8,AC TYPE 2
Sulawesi Selatan,Maros,SPKLU PLN ULP MAROS,"Jl. Jend. Sudirman No.5, Alliritengae, Kec. Turikale, Kabupaten Maros, Sulawesi Selatan 90511",-5.006203541,119.5716156,https://maps.app.goo.gl/xN89a7oxaqMkuKui7,CCS2
Sulawesi Selatan,Palopo,SPKLU PLN ULP PALOPO KOTA,"Jl. Andi Achmad (Ex. Veteran) No. 25, Tomarundung, Wara Barat, Kota Palopo, Sulawesi Selatan",-2.995904472,120.1887461,https://maps.app.goo.gl/iNtHzZNbkqcjYPkr9,"AC TYPE 2, CCS2, CHADEMO"
Sulawesi Selatan,Palopo,Hyundai Palopo (Khusus Kendaraan Hyundai),"Jl. Jend Sudirman No.128, Binturu, Kec. Wara Sel., Kota Palopo, Sulawesi Selatan 91922",-3.010737839,120.2031869,https://maps.app.goo.gl/49Zeuxe2waJqBLhC7,AC TYPE 2
Sulawesi Selatan,Palopo,(WULING) Kumala Palopo,"Jl. Jend Sudirman No.189, Binturu, Kec. Wara Selatan, Kota Palopo, Sulawesi Selatan 91911",-3.019065685,120.2087144,https://maps.app.goo.gl/UzRpwhvoiAHnJKGu5,GB/T
